"Timestamp","User Count","Type","Name","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%","Total Request Count","Total Failure Count","Total Median Response Time","Total Average Response Time","Total Min Response Time","Total Max Response Time","Total Average Content Size"
"1652192424","1","","Aggregated",69.10,0.00,7,9,12,14,17,22,27,29,40,40,40,40,4717,0,7,9,1,88,283
"1652192425","1","","Aggregated",69.10,0.00,7,9,12,14,17,22,27,29,40,40,40,40,4717,0,7,9,1,88,283
"1652192426","1","","Aggregated",67.20,0.00,7,9,11,13,17,21,26,28,40,40,40,40,4922,0,7,9,1,88,282
"1652192427","1","","Aggregated",67.20,0.00,7,9,11,13,17,21,26,28,40,40,40,40,4922,0,7,9,1,88,282
"1652192428","1","","Aggregated",67.20,0.00,7,9,11,13,17,21,26,28,40,40,40,40,4922,0,7,9,1,88,282
"1652192429","1","","Aggregated",69.10,0.00,7,9,11,13,17,21,26,28,40,40,40,40,5132,0,7,9,1,88,283
"1652192430","1","","Aggregated",69.10,0.00,7,9,11,13,17,21,26,28,40,40,40,40,5132,0,7,9,1,88,283
"1652192431","1","","Aggregated",69.10,0.00,7,9,11,13,17,21,26,28,40,40,40,40,5132,0,7,9,1,88,283
"1652192432","0","","Aggregated",68.30,0.00,7,9,11,13,18,22,26,33,40,40,40,40,5319,0,7,9,1,88,283
"1652192433","0","","Aggregated",68.30,0.00,7,9,11,13,18,22,26,33,40,40,40,40,5319,0,7,9,1,88,283
"1652192433","0","","Aggregated",68.30,0.00,7,9,11,13,18,22,26,33,40,40,40,40,5319,0,7,9,1,88,283
